fixed.acidity,volatile.acidity,citric.acid,residual.sugar,free.sulfur.dioxide,total.sulfur.dioxide,pH,sulphates,alcohol,label,chlorides_std,density_std,high_quality
6.5,0.28,0.33,15.7,51,190,3.22,0.51,9.7,expert,0.27859897202253087,1.2466514134441098,1
7.7,0.29,0.48,2.3,36,178,3.17,0.64,10.6,expert,0.10869996735880993,-0.3161430720378094,1
7,0.27,0.48,6.1,60,184,3.2,0.5,9.4,expert,-0.18862329080270193,0.5350811583523378,1
5.9,0.48,0.3,1.5,19,78,3.47,0.42,11.9,expert,-0.40099704663235347,-1.1573920184780806,1
5.8,0.22,0.29,0.9,34,89,3.14,0.36,11.1,expert,-0.5284213001301441,-1.5597284711234003,1
7,0.24,0.35,1,42,104,3.16,0.37,11.7,expert,-0.6133708024620047,-1.3868235493254137,1
7.1,0.38,0.42,11.8,32,193,3.04,0.49,10,expert,-0.23109804196863223,0.7279366480501134,1
6.9,0.19,0.35,13.5,49,118,3,0.63,10.7,expert,-0.35852229546642317,0.46857926535311506,1
6.1,0.28,0.25,6.9,44,201,3.19,0.4,9.1,expert,0.4060232255203218,0.4818796439529744,1
7,0.12,0.28,6.3,17,103,3.5,0.44,9.6,expert,0.44849797668625213,0.5483815369521972,0
7.5,0.29,0.31,8.95,20,151,3.08,0.54,9.3,expert,0.36354847435439147,0.9141419484479592,0
5.6,0.185,0.49,1.1,28,117,3.55,0.45,10.3,expert,-0.6983203047938653,-0.7484053765327942,1
6.9,0.38,0.32,8.5,36,152,3.38,0.35,12,expert,-0.1036737884708416,-0.282892125538198,1
6.7,0.18,0.3,6.4,40,251,3.29,0.52,10,expert,0.06622521619287963,0.5151305904525858,0
3.9,0.225,0.4,4.2,29,118,3.57,0.36,12.8,expert,-0.6983203047938653,-1.6794318785220235,1
7.5,0.24,0.31,13.1,26,180,3.05,0.53,9.1,expert,0.15117471852474024,1.592461257040083,1
6.7,0.265,0.22,8.6,54,198,3.25,0.41,10.2,expert,0.06622521619287963,0.4818796439529744,0
6.6,0.34,0.34,2.6,40.5,210,3.15,0.61,10,expert,0.19364946969067026,-0.30284269343795006,0
7,0.32,0.24,6.2,31,228,3.23,0.62,9.4,expert,0.06622521619287963,0.5483815369521972,1
5.8,0.3,0.09,6.3,36,138,3.15,0.48,9.7,expert,-0.18862329080270193,-0.07673625724056317,0
6,0.22,0.28,1.1,47,90,3.22,0.38,12.6,expert,-0.5284213001301441,-1.8057854752205393,1
7,0.24,0.34,1.4,27,107,3.06,0.39,11.9,expert,-0.6558455536279351,-1.3469224135258728,1
6.5,0.33,0.72,1.1,7,151,3.09,0.57,9.5,expert,0.618396981349973,-0.34939401853742075,0
6.5,0.33,0.24,14.5,20,96,3.06,0.3,11.5,expert,0.06622521619287963,0.16932074685657578,1
7.6,0.31,0.27,8.8,57,156,3.08,0.38,11,expert,-1.0805930652872378,0.12276942175710509,1
6.4,0.32,0.25,5,28,138,3.27,0.5,12.4,expert,0.36354847435439147,-0.7783312283824592,1
6.8,0.18,0.21,5.4,34,104,3.3,0.43,9.4,expert,0.27859897202253087,0.1327447057069811,0
7.6,0.36,0.44,8.3,28,142,3.12,0.43,10.2,expert,8.858498707540447,0.5816324834518085,1
6.8,0.25,0.3,11.8,53,133,3.03,0.58,10.4,expert,-0.1461485396367719,0.3954271830539627,1
6.9,0.33,0.62,7.5,46,132,3.23,0.43,13.4,expert,-0.35852229546642317,-0.8714338785813637,1
6.8,0.28,0.44,9.3,35,137,3.16,0.36,10.4,expert,-0.6558455536279351,0.1826211254564351,1
6.8,0.19,0.33,4.9,42,130,3.12,0.56,11,expert,0.02375046502694932,-0.4059206275867675,1
6.1,0.2,0.25,1.2,34,128,3.24,0.44,10.1,expert,-0.35852229546642317,-0.6486525370339601,0
