fixed.acidity,residual.sugar,free.sulfur.dioxide,total.sulfur.dioxide,alcohol,chlorides_std,density_std,sulphates_std,pH_std,volatile_acidity_std,citric_acid_std,high_quality
6.8,11.2,44,136,9.2,1.0648128713711764,0.9257958392264912,3.4298817107598003,-1.3716733526037594,0.8822226585404513,1.1116204176911757,0
7.1,1.2,6,132,11.2,-0.054303526450112535,-0.8997664248397554,-0.2693752309057698,-0.19609780005584174,-0.38754781071598393,0.05285924277733636,0
6.9,7.8,11,117,9.2,-0.18343234158333804,0.6592903992168144,-1.0620731469769638,0.2610704703794582,0.39384940113413025,-1.6574472705450203,0
7.5,7.7,61,209,11.1,0.11786822706085519,0.026339979193846164,-1.6786159705878922,-0.32671730589449927,-0.485222462197248,1.2745067522933051,1
8.6,11.1,43.5,171,12,-0.6999476021162409,0.2595322392023179,-0.005142592215372198,-1.0451245880071172,0.784548007059187,-0.5986860956311806,0
7.7,11.1,58,179,8.8,-0.3125611567165638,1.2922408192397827,-0.44553032336603526,-0.7185758234104719,0.003150795209073428,2.4147110945082093,0
5.4,7,36,147,9.7,-0.054303526450112535,0.12627951919746105,0.6994777776256885,0.9794777524920731,3.0310649911282646,-2.146106274351408,1
6.8,1.3,32,98,11.3,-0.5277758486052732,-1.146283956848687,0.7875553238558212,-1.1104343409264446,-1.1689450225660978,0.21574557737946526,1
6.1,4.7,56,140,12.5,-0.6999476021162409,-1.199585044850637,-0.6216854158263007,-0.19609780005584174,0.003150795209073428,-0.5172429283301159,1
5.5,1.6,23,85,12.5,-0.613861725360757,-1.2495548148524445,-0.6216854158263007,1.5019557758467033,0.003150795209073428,-1.0059019321365037,0
6.9,10.1,28,152,9.4,-0.1403894032055964,0.9257958392264912,0.2590900464750259,0.06514121162147334,1.2729212644655081,-0.028583924523728304,0
9,5.9,52,159,10.2,-0.054303526450112535,0.32615859920472784,-1.238228239437229,-1.698222117200402,-0.3387104849753518,0.37863191198159457,1
7.2,1.3,33,85,10.4,-0.44168997184978964,-0.673236800831532,0.1710125002448932,-0.1307880471365144,-0.6805717651597767,0.6229614138847881,0
6.8,15.4,56,173,8.7,1.1508987481266604,1.4588067192458076,-0.7097629620564333,-0.8491953292491294,-0.485222462197248,-0.354356593727987,1
6.5,3.8,34,88,12.5,-0.44168997184978964,-1.2462234968523018,1.2279430550064847,0.39168997621811574,0.49152405261539456,-0.2729134264269223,1
8,1.2,20,102,10.9,-0.09734646482785447,-0.3734181808206504,-0.6216854158263007,0.5876192349761006,-0.09452385627219091,-0.7615724302333099,0
6.5,5.4,25,149,10,0.20395410381633874,-0.20685228081462556,-1.238228239437229,0.3263802232987884,1.07757196150298,-0.8430155975343743,0
5.7,1.3,21,100,9.5,0.031782350305371326,-0.40673136082185535,-0.2693752309057698,0.5223094820567733,-1.7549929314536834,-0.5172429283301159,0
6.4,5.3,42,157,10.5,-0.1403894032055964,0.1762492891993055,-0.18129768467563762,1.0447875054114033,-1.1689450225660978,-0.19147025912585763,0
6,1.6,33,104,10.2,3.1308739135027874,-0.6399236208303271,-0.973995600746831,-1.6854129785687493e-4,0.003150795209073428,0.05285924277733636,1
6.2,6.6,79,200,9.6,12.901620925250194,0.4594113192095477,0.7875553238558212,0.6529289878954307,0.8822226585404513,-0.2729134264269223,0
6,3.1,37,144,12.8,-0.22647527996107997,-1.5260542088624753,-0.8859180545166983,0.19576071746013088,-0.19219850775345526,-0.354356593727987,1
6.6,1.5,55,144,10,-0.5708187869830151,-0.6465862568305755,-0.6216854158263007,-0.19609780005584174,0.2961747496528659,-2.146106274351408,0
6.2,13.1,59,150,9,0.16091116543859713,1.2322770952376212,-0.2693752309057698,0.7835484937340883,-0.6805717651597767,-0.5986860956311806,0
7,8.9,24,90,9.8,0.16091116543859713,0.5127124072114978,-0.2693752309057698,0.6529289878954307,-0.5828971136785124,-0.354356593727987,1
5.7,6.8,9,84,10.2,-0.18343234158333804,0.09962897519650449,-0.44553032336603526,1.632575281685361,4.056648831681539,-2.2275494416524726,0
8.3,4.45,33,130,12.2,-0.09734646482785447,-0.5399840808267122,-0.6216854158263007,0.39168997621811574,-0.7782464166410408,3.31058593481992,1
7.4,1.3,26,105,10.6,0.07482528868311325,-0.0069732008073588,1.4921756936968829,2.155053305039991,-0.9735957196035694,-0.5172429283301159,1
6.2,10.4,22,184,9.8,0.5913405492160159,1.0290666972302487,0.6114002313955568,0.7835484937340883,0.784548007059187,0.9487340830890468,1
5.7,1.1,61,197,9,0.20395410381633874,-0.2734786408170355,-0.7978405082865656,-1.1104343409264446,1.6636198703905656,0.7044045811858528,0
6.4,1.7,49,106,9.2,4.723462633479238,-0.16021382881292384,-1.0620731469769638,-0.5879563175718143,0.003150795209073428,1.8446089234007577,1
6.6,18.15,41,158,8.7,-0.18343234158333804,1.891878059261546,-0.8859180545166983,0.5876192349761006,-0.6805717651597767,1.2745067522933051,1
6.1,1.4,51,131,10.5,-0.011260588072370606,-0.7265378888334452,-0.8859180545166983,0.19576071746013088,-0.6805717651597767,-1.1687882667386327,0
5.9,2.4,27,132,11.3,-0.011260588072370606,-0.5599719888274204,2.108718517307811,2.8734605871526058,-0.19219850775345526,-0.7615724302333099,0
6.3,8.2,50,199,11.7,-0.5277758486052732,-0.026961108808066986,-0.005142592215372198,1.3060265170887184,0.19850009817160155,4.695119778938019,1
5.8,1.5,21,109,10.4,-0.9582052323826922,-0.5599719888274204,0.7875553238558212,1.175407011250061,-0.5828971136785124,-0.6801292629322452,1
5.9,6,50,127,12.5,-0.5277758486052732,-0.673236800831532,0.7875553238558212,2.0897435521206607,1.1752466129842445,-0.11002709182479298,1
7.2,3,17,117,10.1,-0.44168997184978964,0.029671297193988852,1.6683307861571481,1.1100972583307307,-0.38754781071598393,-0.354356593727987,1
8.2,1.5,17,101,9.5,0.16091116543859713,-0.0069732008073588,0.7875553238558212,-0.32671730589449927,-1.0712703710848335,-0.11002709182479298,0
6.2,7.1,54,201,9.5,0.031782350305371326,0.4027789132074919,-0.0932201384455049,-1.6854129785687493e-4,-0.19219850775345526,0.2971887446805299,1
6.6,3.9,39,96,12.6,-0.8290764172494666,-1.222904270851488,0.9637104163160866,0.3263802232987884,0.10082544669033723,-0.19147025912585763,1
7.2,3,35,132,11,-0.44168997184978964,-0.40673136082185535,-0.7978405082865656,0.39168997621811574,-0.6805717651597767,-0.028583924523728304,1
5.9,3.3,24,140,9.2,2.9156592216140784,-0.20685228081462556,-0.3574527771359025,-0.6532660704911445,0.39384940113413025,0.4600750792826592,1
8.8,6.35,9,87,12.6,-0.9582052323826922,-0.773176340835147,-0.7978405082865656,-1.5022928584424171,0.49152405261539456,0.8672909157879821,1
6.4,2.9,19,102,11,-0.35560409509430574,-0.9397422408412087,-1.238228239437229,-0.1307880471365144,0.2961747496528659,0.37863191198159457,1
6.4,5.85,24,99,12,-0.18343234158333804,-0.673236800831532,-1.5024608781276267,0.2610704703794582,-1.5108063027505227,-0.354356593727987,1
5.1,1.7,15,72,12.5,-0.8290764172494666,-1.5393794808629722,-0.3574527771359025,2.0244337992013333,1.07757196150298,-1.0059019321365037,1
